timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-12-13T18:50:54,codecarbon,082f56aa-daf4-48fb-bf43-a2e39f5a4553,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.659196772998257,7.842306220395194e-06,2.949125954132742e-06,22.5,0.0,6.0,1.661917831870596e-05,0,4.431299384996237e-06,2.10504777037022e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.4322,42.2078,16.0,machine,N,1.0
2024-12-13T18:52:39,codecarbon,05d39898-1058-427f-880d-d63a9eae13fc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.5650034560021595,1.0513658149399726e-05,2.9491298617673365e-06,22.5,0.0,6.0,2.2279999468764795e-05,0,5.940975361663733e-06,2.822097483042853e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.4322,42.2078,16.0,machine,N,1.0
2024-12-13T18:56:38,codecarbon,7183a497-292c-4431-9cc2-7d78b695ed9d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.765395611000713,1.1104917852472384e-05,2.949203483434528e-06,22.5,0.0,6.0,2.353291776248625e-05,0,6.2751283766677575e-06,2.980804613915401e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.4322,42.2078,16.0,machine,N,1.0
2024-12-13T19:02:05,codecarbon,f2d4d311-aada-453c-a836-a17edf1efc4b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.489510661005625,1.3240675650454784e-05,2.949246955900746e-06,22.5,0.0,6.0,2.805885177504024e-05,0,7.482038841674997e-06,3.554089061671523e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.4322,42.2078,16.0,machine,N,1.0
2024-12-13T19:06:57,codecarbon,0b25ea54-f54e-447c-8a2e-3739900b4f57,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.455532025000139,1.608978549619844e-05,2.949260571190219e-06,22.5,0.0,6.0,3.409645469373572e-05,0,9.092074461659647e-06,4.318852915539537e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.4322,42.2078,16.0,machine,N,1.0
2024-12-13T22:10:23,codecarbon,a749a8f6-7e72-4e58-aa2f-7a1deb57fa9a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.992508884999552,1.177450109229208e-05,2.9491483754815493e-06,22.5,0.0,6.0,2.4951955300002737e-05,0,6.65339977666008e-06,3.1605355076662815e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T22:31:25,codecarbon,e8a2cdf1-03a3-411b-9d31-ac76baf0676e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.816476196996518,1.4204635555648343e-05,2.949175906756508e-06,22.5,0.0,6.0,3.0101906337495165e-05,0,8.026465043330973e-06,3.812837138082614e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:00:51,codecarbon,671ffa64-25a8-4e28-8f8f-be3293cd6b07,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.748460759001318,1.400417332754548e-05,2.949202707635052e-06,22.5,0.0,6.0,2.967695114998605e-05,0,7.913335444997453e-06,3.75902865949835e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:15:14,codecarbon,86f8a41c-b6a4-4dbe-826e-c48aedfd96c6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.670769547010423,1.3775073793271618e-05,2.949208616402088e-06,22.5,0.0,6.0,2.919139100004031e-05,0,7.78394196999822e-06,3.697533297003853e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:17:15,codecarbon,7384a19e-69a5-4ef5-9087-67e53d64f501,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.640249025003868,1.3685074755189349e-05,2.949211277551627e-06,22.5,0.0,6.0,2.90006771499975e-05,0,7.733078573340512e-06,3.673375572333801e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:19:17,codecarbon,e625605d-f385-40fa-8be1-7d8a6a8dbfde,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.685965555006987,1.3819876035730036e-05,2.949205638305088e-06,22.5,0.0,6.0,2.928635385624148e-05,0,7.809238203335553e-06,3.709559205957703e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:21:24,codecarbon,ddfee7a9-04b6-4a8b-8aed-33a53fd3e890,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.892319520004094,1.4428493048626285e-05,2.9492131471850822e-06,22.5,0.0,6.0,3.0576081168692325e-05,0,8.15317304331984e-06,3.872925421201217e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
2024-12-13T23:23:00,codecarbon,393530f6-bba6-4985-91e4-65d2bc991b8d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.8750690879969625,1.4377618415595212e-05,2.9492132636632226e-06,22.5,0.0,6.0,3.046826404997773e-05,0,8.124431438336616e-06,3.8592695488314345e-05,United States,USA,massachusetts,,,macOS-12.6-x86_64-i386-64bit,3.11.10,2.8.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,-71.095,42.3252,16.0,machine,N,1.0
